CAMPUS_NO,COURSE_CODE,COURSE_NAME,CRD_HRS,STUDY_CODE,STUDY_DESC,ACTIVITY_CODE,ACTIVITY_DESC,SECTION,DEPT_NO,DEPT_NAME,CLASS_TIMES,Unnamed: 12,,STATUS
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,12,47,LANGUAGE CENTER,[10:30-11:20 DAR 101 Monday Wednesday],,,0
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,13,47,LANGUAGE CENTER,[10:30-11:20 DAR B109 Monday Wednesday],,,1
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,1,47,LANGUAGE CENTER,[17:30-19:20  Electronic Sunday],,,1
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,2,47,LANGUAGE CENTER,[17:30-19:20  Electronic Tuesday],,,1
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,3,47,LANGUAGE CENTER,[19:30-21:20  Electronic Sunday],,,0
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,4,47,LANGUAGE CENTER,[17:30-19:20  Electronic Wednesday],,,1
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,5,47,LANGUAGE CENTER,[17:30-19:20  Electronic Wednesday],,,1
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,6,47,LANGUAGE CENTER,[17:30-19:20  Electronic Thursday],,,1
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,7,47,LANGUAGE CENTER,[19:30-21:20  Electronic Thursday],,,1
1,100111001,BASIC PHYSICS,2,1,Bachelor,1,Lecture,11,43,Physics Department,[13:30-14:20 A&S 010 Monday Wednesday],,,1
1,100111001,BASIC PHYSICS,2,1,Bachelor,1,Lecture,12,43,Physics Department,[13:30-14:20 A&S 014 Monday Wednesday],,,0
1,100111001,BASIC PHYSICS,2,1,Bachelor,1,Lecture,18,43,Physics Department,[08:30-09:20 A&S 013 Sunday Tuesday],,,0
1,100111001,BASIC PHYSICS,2,1,Bachelor,1,Lecture,20,43,Physics Department,[13:30-14:20 A&S 005 Monday Wednesday],,,1
1,100111001,BASIC PHYSICS,2,1,Bachelor,1,Lecture,22,43,Physics Department,[08:30-09:20 A&S 020 Sunday Tuesday],,,0
1,100111002,PRE-PHYSICS,2,1,Bachelor,1,Lecture,2,43,Physics Department,[08:30-09:20 AFS 107 Sunday Tuesday],,,1
